2815,Wolfner
1297,Kovách
1848,Pelczer
2109,Récsei
174,Bernáth
2292,Stettler
2646,Vajda
2630,Unterberg
yb19121569,Bunzlau
677,Funk
1789,Oppenheim
1877,Pikler
799,Gutfreund
1954,Purjesz
2087,Roóz
2537,Tauszk
285,Bródy
alm19071160,Gansl
1721,Münz
1992,Pózner
984,Honig
2468,Szécsi
857,Hajnal
1435,Lampl
2240,Simonovits
yb19121527,Goldfeld
2750,Wahrmann
765,Goldner
171,Bergsmann
324,Bárdi
2830,Zahler
717,Garai
yb1912957,Hirschel
2790,Wilheim
2267,Soó
2827,Zacharovits
yb1912958,Czukermann
442,Czitrom
926,Herczeg
yb19092435,Grauer
674,Fráter
yb19092288,Bojnitzer
51,Arányi
905,Havas
804,Gyenes
yb1909868,Tuchler
2186,Schober
2409,Szidon
yb19091103,Bergler
2218,Seemann
yb19091378,Glöckner
2020,Raáb
yb19097,Faszler
693,Förstner
alm1904172,Hönigsfeld
alm1907632,Lobstein
280,Brust
yb19092628,Weingarten
927,Herczel
1290,Korányi
yb19121630,Smilovitz
2140,Salgó
1717,Mühlrad
yb19122447,Szanditz
266,Braunstein
yb1912668,Kleinberger
625,Fenyves
yb1912470,Kurzmann
2258,Sohr
yb1912566,Schöpkesz
281,Bruszt
916,Heisler
yb19121986,Blitz
yb19091049,Hilf
286,Brück
yb19121999,Schulmann
yb1909180,Füchsl
yb19092190,Farbenblum
2778,Wenger
2070,Ross
1561,Major
839,Gúth
728,Gaál
alm19041112,Preszburger
yb19121286,Kirnig
2501,Sámson
574,Engelhardt
270,Brett
1494,Lissauer
yb19091244,Gelb
yb19122032,Rosenspitz
1610,Max
yb1909957,Trebitscher
yb1909413,Mailender
1187,Keresztes
yb1912481,Bászsz
2037,Reitzer
945,Heuman
yb1909257,Rozenberg
104,Barna
2706,Viola
2800,Wippler
yb1909966,Grossz
2041,Renn
2844,Ziffer
623,Felter
yb19123180,Mantág
1759,Noé
1,Abelsberg
1890,Piszker
alm1907877,Hausbrunner
1411,Kürschner
1543,Löwinger
yb19091252,Lövinger
yb1909766,Kesztenbaum
alm1904922,Rosenstein
yb1912698,Grossmann
yb19092025,Kohn
yb19121621,Eckstein
yb19092458,Löwy
127,Baumgarten
1473,Lichtmann
yb19091217,Grünfeld
668,Friedmann
yb19121441,Reismann
1363,Kácz
yb19121971,Goldstein
2291,Stern
yb1909955,Diamant
yb1912811,Feuerstein
yb19121005,Spitz
yb19121515,Rosenzweig
yb19092290,Policzer
yb1909124,Schlesinger
yb19091880,Guttmann
alm1907517,Sonnenfeld
yb1909205,Herzfeld
yb1909662,Singer
yb19091229,Spitzer
alm1907843,Fried
773,Gottlieb
2068,Rosenfeld
alm19071134,Feuer
272,Breuer
478,Deutsch
1570,Mandel
alm1904283,Hartenstein
yb19091102,Weiszfeld
yb19091197,Grünhut
1544,Lőbl
yb19121669,Waldner
yb19123238,Buchwald
764,Goldberger
yb1909313,Fischbein
yb19091200,Weinberger
572,Engel
2902,Éliás
alm19041056,Hajduska
2139,Salamon
2810,Wohl
yb1912391,Kron
yb19121323,Grün
yb19091842,Katz
yb190918,Schönfeld
yb19091465,Goldmann
yb1909968,Neufeld
2775,Weisz
790,Groszmann
2198,Schwartz
170,Berger
2286,Stein
2771,Weiner
yb19122801,Ungár
yb1912326,Oesterreicher
1458,Lederer
alm1907953,Langfelder
2067,Rosenberger
yb19121449,Lövenstein
yb19121076,Moskovitz
yb19092524,Schwarcz
1734,Neuhauser
2199,Schwarz
1223,Klein
yb1909506,Hirschl
alm1907258,Fleischmann
alm1907543,Tausz
795,Grünwald
alm19041088,Hamburger
794,Grósz
789,Grosz
yb19123265,Steinberger
2204,Schön
2184,Schneller
287,Brüll
yb19122337,Pollák
958,Hirschler
2028,Reiner
2293,Stettner
1971,Pápa
957,Hirsch
yb1909118,Veisz
yb19121964,Reich
yb1912312,Lichtenstein
1162,Kaufmann
644,Fleischer
265,Braun
660,Frankl
yb19091276,Steiner
2158,Scheiber
207,Blum
1540,Löv
2205,Schönberger
2075,Roth
2127,Róth
yb1909965,Gross
1546,Lőwenstein
1541,Löwenstein
yb19121733,Herz
alm1907562,Reiser
alm1904458,Hecht
1735,Neumann
514,Drechsler
yb19121995,Flesch
yb1912357,Salzer
yb19091956,Schvarcz
yb19121311,Krausz
972,Hofmann
yb19092282,Horovitz
1310,Kreizler
2282,Stark
yb19091228,Grüner
yb19091927,Zinger
735,Geiger
1731,Neu
yb19121609,Herczfeld
1181,Kelner
2188,Schreiber
1020,Hándler
876,Handler
yb1909880,Grünvald
1105,Jákobi
842,Haas
2704,Vimmer
alm190778,Fleisch
yb1909377,Grünn
277,Brucker
898,Haslinger
yb19091728,Bruckner
yb1912809,Gutman
yb19091195,Zwicker
555,Ehrlich
yb1912542,Hoffner
2076,Rotter
512,Drach
946,Heumann
968,Hoffer
2797,Winkler
656,Fraenkel
897,Hasenfeld
676,Fuchs
641,Fischer
1933,Preisz
2031,Reisz
1005,Hubert
2151,Schaffer
2201,Scháffer
yb1909474,Horovicz
575,Engler
616,Fehér
256,Boschán
1101,Junger
153,Benedek
2786,Wiesner
alm190749,Engelmann
yb19091179,Beck
2883,Ábrahám
657,Frank
1732,Neubauer
1179,Kellner
yb1909691,Kurcz
yb19123348,Strumpf
830,Gártner
299,Burger
2793,Wimmer
yb19091931,Schnitzer
350,Böhm
355,Bőhm
2172,Schindler
895,Hartmann
2798,Winter
1871,Pfeiffer
967,Hofbauer
yb19122226,Held
1797,Ország
yb19091929,Hauser
1738,Ney
2244,Sindler
2768,Wein
871,Hamar
yb1912706,Wachtel
793,Gróf
785,Grimm
2788,Wild
2364,Szegő
2180,Schmidl
yb19123063,Szommer
yb1909954,Zwirn
618,Fejes
yb19121837,Csora
alm1904723,Milhoffer
1882,Pinsker
yb1909121,Schlegel
2812,Wolf
yb19122622,Kirschner
1197,Keszler
yb19122856,Röszler
yb19121614,Bak
969,Hoffmann
1038,Hőnig
930,Hermann
alm190795,Winterstein
931,Hermán
1656,Miller
1436,Langer
125,Bauer
1131,Kaiser
yb1909134,Neuberger
1530,Lázár
1221,Klausz
yb19121939,Sommer
1560,Majer
1581,Markovits
1792,Orbán
791,Gruber
2809,Wittmann
2783,Werner
1719,Müller
1525,Láng
792,Gráf
777,Graf
53,Auer
1472,Liber
2841,Ziegler
119,Basch
alm1904739,Knecht
2059,Rokonstein
1261,Kolpaszky
1872,Philipp
1932,Preisich
2769,Weinber
1849,Peller
2193,Schubert
2629,Unger
2487,Szüsz
1956,Putz
1399,König
2044,Richter
1068,Jakab
2236,Simon
2766,Weidinger
1612,Mayer
41,Anton
2209,Schütz
1539,Lörincz
2502,Sándor
yb19092058,Stefka
2195,Schuler
313,Bálint
1545,Lőrincz
716,Gang
yb19091795,Ehrenteil
yb19121278,Brenner
2156,Schauer
872,Hammer
84,Balog
1256,Kolmann
611,Farkas
756,Glasz
1244,Koch
131,Becker
2761,Weber
2822,Wéber
1701,Márkus
2019,Rausz
2318,Stuhl
yb19092429,Kuncsik
671,Fritsch
1683,Moór
2034,Reiter
yb19092088,Ruff
yb19122713,Fink
126,Baumann
2167,Schiller
2431,Szlovák
1339,Kugler
620,Fekete
2847,Zimmermann
alm1904254,Kranz
1178,Keller
664,Frey
yb19091985,Schneider
yb19092559,Feichtmann
892,Hart
1107,Jámbor
1205,Kirchner
1447,Lauer
666,Fridrich
yb1909256,Szinger
1636,Metzger
alm1907586,Hechtl
yb19092075,Haskó
2677,Vavró
1326,Kránitz
yb19122883,Máder
yb1912495,Baumgartner
1308,Kranitz
669,Friedrich
1104,Jáger
1254,Kollmann
1517,Luka
alm1904606,Mráz
yb19092338,Tkács
2029,Reinhardt
1277,Kopp
yb19123127,Zsidó
yb19092176,Kocza
alm1904783,Lákner
yb1912607,Pfeffer
1430,Lakner
2021,Redl
2111,Rédl
1862,Petrás
2886,Ádám
2611,Török
yb19121018,Ludvig
2277,Stadler
2196,Schuller
yb19092274,Stefanovics
1591,Martin
2846,Zimmer
1330,Krémer
2147,Sax
1385,Kíss
2024,Reichel
1213,Kiss
1671,Molnár
1670,Moldován
yb19122688,Tischler
1257,Kolompár
1752,Novak
1757,Novák
2749,Wagner
2181,Schmidt
1298,Kovács
1004,Huber
1756,Novotny
338,Bém
1572,Manger
alm1907659,Amtmann
2857,Zsemlye
2022,Rehák
392,Csicsai
178,Berényi
yb19121197,Kilmayer
2459,Szvoboda
847,Haffner
yb19122432,Lesák
2597,Tupicza
yb19092250,Bánfus
32,Andor
1948,Prückler
328,Bárán
862,Halbauer
767,Gombkötő
1081,Jankovits
yb19092030,Filinescu
yb19123114,Finkmann
216,Boda
1606,Matusek
yb19091990,Herunter
yb19092568,Czopf
yb19123300,Czifrik
2748,Waginger
1702,Márton
761,Goda
1841,Payer
1226,Klement
112,Bartsch
726,Gayer
11,Agocs
234,Bolla
1705,Máthé
2137,Safranek
1392,Köberling
yb19091404,Ritterbacher
alm190436,Szallenback
1375,Kárg
307,Bába
yb19092121,Vlcsek
933,Herold
alm19071091,Ressel
yb19092264,Knöbl
823,Gábriel
65,Baintner
1429,Lakits
1343,Kuli
524,Dudás
473,Demkó
alm1904446,Führinger
2474,Széll
yb19092238,Sztakó
403,Csiszár
1538,Lökös
yb19091958,Krizsánovics
1840,Pavalacs
1048,Imhof
yb19121579,Sztiszkala
16,Albrecht
1613,Maár
yb19121328,Schöbinder
833,Göbel
yb19092493,Ginzer
88,Balás
204,Blaskó
903,Hauschild
2399,Szentpéteri
2412,Szigriszt
alm1904130,Spanraff
1270,Komáromi
2117,Réthy
820,Győri
yb19092311,Radvojevics
1926,Pozna
2473,Széles
yb19122794,Kupsza
807,Gyulai
yb19092268,Hoyer
1340,Kuhar
999,Houska
2462,Szánthó
736,Gelencsér
2290,Stepánek
1950,Pukkel
yb19121987,Joksmann
yb19092404,Zaletynik
yb1912736,Kratochvila
yb19092183,Salling
610,Farbinger
321,Bánó
140,Bekö
1528,László
1377,Kármán
2752,Walter
2683,Veres
yb19092415,Audics
881,Hanzély
2046,Rill
alm1904668,Krenácz
826,Gájer
yb1912660,Ehmann
2006,Raisz
1247,Koffler
2407,Szervisz
1125,Kacskovics
yb19122818,Huffgart
2767,Weiland
410,Csontos
yb19122345,Tkátsik
1160,Kattausch
yb1909174,Kmetykó
2896,Éberling
1040,Igali
2023,Reichardt
2344,Szaiff
1834,Pauer
1990,Pólyák
2235,Simkó
904,Hauszner
111,Bartos
2693,Viczko
yb19092247,Belgram
1836,Paulikovics
752,Geschader
944,Heuffel
31,Anderkó
1106,Jákubecz
2123,Ríeger
952,Hiesz
953,Hilbert
2173,Schleitz
695,Fülepp
956,Hinterschek
yb1909919,Gluszkievitz
759,Glósz
yb1912925,Dzurányi
yb19122868,Francz
1358,Kutsera
2754,Waltz
681,Fábián
yb1912659,Schweig
2860,Zsinkó
1838,Paulovits
1602,Mathievits
yb19091511,Buna
yb19091962,Hackstock
1380,Kégl
1353,Kurucz
2543,Tenk
1242,Kobor
13,Agócs
1258,Kolonics
114,Bartók
409,Csonka
2429,Szlavnits
1386,Kóbor
588,Erhardt
yb19091036,Polzberger
1795,Orosz
alm1907956,Mutzbauer
yb19092301,Drázsnyák
yb19121872,Kleinlein
552,Egri
879,Hanuszek
755,Girch
yb19121670,Lovovits
240,Bordás
222,Bodó
alm1907870,Kadenczki
yb19121539,Gecsó
alm1907857,Dleszk
2333,Swoboda
995,Horváth
yb1912480,Dvorzsák
2100,Rácz
101,Bari
998,Hosszú
yb19092327,Kukucska
1349,Kunszt
2382,Szende
1743,Niesz
alm1907573,Vince
yb1909491,Gradwahl
2559,Till
853,Haintz
619,Fejér
1886,Pirger
885,Haris
85,Balogh
252,Borsós
1920,Poppel
yb19123277,Negru
1336,Kuchinka
alm1907470,Kricsa
1033,Hübner
yb19123274,Csicsó
2452,Sztraka
1087,Jaros
2285,Steger
1329,Krázl
yb1909530,Pukli
2505,Sári
yb19091306,Demetrovics
yb19092553,Konecsny
2015,Ramhab
396,Csik
1586,Marosi
2464,Száraz
1151,Karner
1899,Plichta
1325,Králl
1176,Keleti
2389,Szente
alm19071028,Rusznák
yb19092310,Habakusz
52,Asztalos
315,Bán
2266,Sorbán
2535,Tatár
628,Ferencz
158,Benkó
yb19121285,Baksis
yb19121834,Benesovszky
yb19122367,Lojka
2130,Rózsa
581,Erdélyi
547,Eberling
2426,Szivós
2716,Vizi
alm190418,Hrabkovszky
1912,Pokorny
yb1909960,Schestauber
159,Benkő
2170,Schimkó
1643,Mihály
784,Grill
747,Gergye
2297,Stipanics
1879,Piller
102,Barina
1428,Lakatos
yb19121163,Schusbek
yb19122453,Mikolai
alm1904139,Kolczun
1207,Kirner
2877,Prihoda
yb19091242,Verner
1900,Plininger
yb19121313,Pospischil
yb19121923,Rambach
yb19122466,Kantsura
2274,Spánitz
2551,Theodorovits
yb19121452,Kropf
2288,Stephani
2174,Schlosser
1907,Pohl
1846,Peinits
1455,Lebanovits
yb19121649,Vaszil
1080,Jankovich
2314,Strósz
yb19092550,Heine
yb19092261,Vimalovszki
290,Bucsi
854,Hajda
2179,Schmid
yb19123313,Mikó
2417,Szily
875,Hamza
1765,Nyitrai
56,Axmann
yb19121785,Karmazsin
1788,Opitz
1831,Pascu
yb19121897,Kruze
2463,Szántó
1646,Mihályik
yb19121926,Gödölle
2530,Tar
2512,Sóos
1120,Józsa
1204,Kirchknopf
alm1904921,Tverdi
1707,Máté
yb19121135,Kirnlg
1456,Lebánovits
105,Barsi
yb19122461,Ruzsa
alm1907186,Proschinger
2511,Sípos
yb19122542,Szkruczany
yb19122924,Palásti
1598,Maschek
525,Duka
yb1912130,Kandler
244,Boros
1592,Martinkovics
1292,Korény
yb19122905,Stampf
yb19092109,Himpchmann
2262,Somodi
2718,Vojtek
497,Dobrovits
yb19092405,Klefaber
1452,Layer
2869,Záborszky
1289,Kortsák
2401,Szepessy
262,Boér
1092,Jelenek
1892,Pitlik
72,Bakay
yb19121822,Mihlrad
2885,Ács
147,Bencze
yb19122443,Flori
yb19092430,Habinstroh
yb19123268,Tringer
655,Forstner
yb1912472,Frasz
yb19121052,Prandtner
yb19123320,Stöckl
1355,Kustár
2503,Sánta
yb19123353,Nezezon
1850,Perger
yb1909585,Martinelli
yb19091923,Csernyánszky
1098,Joó
1356,Kusztos
yb19122986,Pikuj
yb1912538,Gasparik
1135,Kalmár
200,Blahó
1279,Koren
alm19041113,Wienhoffer
alm1904267,Leichtberg
300,Burián
yb19123118,Gajdos
444,Czvitkovics
yb19092410,Kohut
1276,Kopeczky
2485,Szücs
2439,Szokolik
yb19122504,Zleszich
1669,Mojsisovics
yb190992,Reissberger
1785,Oláh
498,Dobrovolszky
819,Győrfi
yb19122926,Huminik
2295,Stifter
483,Dienes
196,Bitter
2666,Vas
yb19123364,Kriger
239,Borbély
1084,Janovics
1408,Körösi
2863,Zsoldos
1740,Niederkirchner
alm19071174,Wurfer
2465,Szász
2656,Vancsura
2581,Tordy
2254,Skultéti
yb19092195,Szuszki
565,Emmerling
yb19092611,Csiba
yb19092296,Zuzanszki
441,Czimmermann
1583,Markó
1210,Kis
yb1912314,Ebner
2881,pán
797,Gugán
1161,Katzer
1775,Némethy
2287,Steindl
yb19092562,Vacha
1055,István
1595,Marton
2785,Wesztermayer
2319,Sturza
2828,Zachár
1513,Ludwig
2649,Vakarcs
1505,Lovas
1352,Kurtz
1345,Kulik
alm1907199,Losteiner
1331,Krémmer
1064,Jablonszky
2025,Reichl
1272,Konecsni
yb1912147,Hubacsek
yb19092286,Kovácsics
alm1907637,Poppovits
yb19091267,Weigand
1312,Krepelka
2606,Tóth
2367,Szeitz
2499,Sági
962,Hochbaum
2640,Vadas
1500,Lobmayer
2190,Schrott
yb19121339,Gavalja
1860,Petrovits
517,Dressler
1128,Kacziány
2774,Weisinger
284,Bráth
177,Beránek
1961,Pál
753,Gescháder
yb1909487,Spindler
alm19071098,Hrenszik
584,Erdős
yb19091804,Kolega
yb19121279,Goldburg
1474,Licskó
1065,Jaczó
450,Dancs
2101,Rákosi
2758,Watzek
yb19123361,Speier
1724,Narancsik
yb1909777,Bartl
yb19092242,Kesztner
2743,Vékony
1739,Nicora
yb19122358,Opic
yb19123346,Lakinger
711,Galambos
217,Bodnár
alm1904490,Saltzer
yb19092408,Schulteisz
2283,Stefanovits
yb19123094,Mura
76,Bakos
yb19123082,Ilia
994,Horvát
1255,Kollár
yb19092332,Heider
2871,Zák
445,Czvitkovits
yb1909577,Hrigyecz
2697,Viertl
1642,Mihálovits
2549,Thain
1173,Keil
yb19092601,Szmrekár
342,Bérényi
1589,Marschner
yb19121868,Viczing
2310,Strobel
1159,Katona
1391,Kóta
1461,Leipold
1311,Kren
2490,Szőllősi
1641,Mihalik
yb1909405,Rohaska
1659,Minárik
1296,Kovaltsik
2004,Radó
923,Hembach
67,Bajczár
yb19091546,Pacurar
831,Gáspár
613,Fazekas
1453,Laza
1045,Illés
487,Dittrich
2036,Reitter
151,Bene
701,Füstös
602,Fa
yb1909250,Mihalovics
1071,Jakubecz
980,Holub
yb19123233,Csicsay
2071,Rosskopf
yb1909906,Policsek
yb19123166,Stefán
2564,Titzer
yb1909901,Wirnhart
1989,Pólya
2705,Vincze
yb1909976,Czeripp
18,Alexa
yb19121545,Nadeniczek
1079,Janicsek
758,Glosz
yb19091206,Birtalan
115,Barát
2001,Radics
457,Darabos
645,Fliegl
1780,Odor
1146,Kardos
2202,Schöberl
2352,Szalay
2525,Tamási
yb19092024,Zörnör
1668,Mohó
146,Bencsik
2155,Schaschek
780,Greisinger
1269,Komzsik
yb19123266,Szproszty
344,Bíró
193,Bischoff
559,Elischer
2839,Zeleny
1942,Prohászka
62,Bagi
292,Budai
yb19091697,Curticapean
192,Bischof
yb19123182,Kovácsevits
yb19122469,Nemecz
515,Drencsik
1348,Kuna
yb19092401,Strobak
1883,Pintér
141,Bekő
638,Fiala
yb19092400,Wechermann
yb19121298,Bozsó
2715,Vizer
1100,Juhász
yb19121850,Hrabe
1748,Nizsnánszky
312,Báli
1466,Lengyel
1935,Pribil
yb19091684,Wenczel
405,Csizmadia
208,Blázsek
2081,Rozsa
377,Csefkó
2092,Ruppert
911,Hegedűs
757,Glatz
167,Beretics
yb19121554,Potaczek
2115,Répa
2086,Roósz
yb19121038,Schenkengei
2708,Virnhart
2471,Székely
alm1904186,Barschrott
2381,Szemler
1138,Kapcza
110,Bartek
yb19092377,Gubcsó Bugán
yb1912683,Planyitska
2312,Stréer
1556,Magdics
2811,Wojtek
1599,Masek
2176,Schmelhegger
2166,Schill
yb19122921,Figula
827,Gál
1874,Pichler
1817,Pandics
2064,Romsits
yb19091975,Schuszter
2562,Tiringer
1685,Muk
alm1904846,Besenbeck
1809,Paczona
2185,Schnierer
986,Hornok
